"date_time","season","type","date_of_payment","amount","notes","file_date","member_id"
"2025/09/03 13:44","Combined CSA","Complimentary","Sep 3, 2025",0.83,"WK 23: boneless chops under 16 oz",2025-09-05,322
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1286
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,371
"2025/08/28 16:58","Combined CSA","Complimentary","Aug 28, 2025",4.9,"WK 22 returned 2 jars , deducted extras",2025-09-05,192
"2025/09/04 18:52","Combined CSA","Complimentary","Sep 4, 2025",5,"WK 23: returned 3 jars, deducted extras",2025-09-05,192
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,701
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,1047
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1786
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1614
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1468
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,282
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,856
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1227
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",600,NA,2025-09-05,366
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,579
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,554
"2025/08/28 16:02","Combined CSA","Complimentary","Aug 28, 2025",0,"WK 22: returned 2 jars, deducted extras",2025-09-05,22
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,1465
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,970
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,883
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1923
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1932
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1889
"2025/08/27 17:49","Combined CSA","Complimentary","Aug 27, 2025",13.5,"WK 22: people bag given to someone else, deducted AB jam & bada bing",2025-09-05,1889
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,296
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1871
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,710
"2025/08/28 19:04","Combined CSA","Complimentary","Aug 28, 2025",0,"WK 22 returned 1 jar, deducted extras",2025-09-05,364
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",600,NA,2025-09-05,1336
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",600,NA,2025-09-05,588
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,30
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1577
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",64.899414,NA,2025-09-05,1408
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",65.42969,NA,2025-09-05,1408
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,1941
"2025/08/30 03:42","Combined CSA","Credit Card","Aug 30, 2025",300,NA,2025-09-05,287
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",600,NA,2025-09-05,622
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,1145
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,1353
"2025/08/28 17:56","Combined CSA","Complimentary","Aug 28, 2025",0,"returned6 jars, deducted from purchases.",2025-09-05,1353
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,242
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",1000,NA,2025-09-05,1380
"2025/08/28 03:45","Combined CSA","Complimentary","Aug 28, 2025",15,NA,2025-09-05,1380
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,637
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,267
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-09-05,814
"2025/08/27 19:41","Combined CSA","Complimentary","Aug 27, 2025",3.54,"WK 22: returned 3 jars, deducted extras",2025-09-05,814
"2025/08/28 19:14","Combined CSA","Fee","Aug 28, 2025",-7.71,"WK 22 mmpie",2025-09-05,346
"2025/09/04 18:55","Combined CSA","Complimentary","Sep 4, 2025",5,"WK 23: returned 2 jars, deducted extras",2025-09-05,370
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,976
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",68.89014,NA,2025-09-05,327
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,1512
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",46.549995,NA,2025-09-05,83
"2025/09/02 13:48","Combined CSA","Credit Card","Sep 2, 2025",50,NA,2025-09-05,83
"2025/09/03 03:44","Combined CSA","Credit Card","Sep 3, 2025",150,NA,2025-09-05,83
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,135
"2025/08/28 17:08","Combined CSA","Complimentary","Aug 28, 2025",7.5,"WK 22 returned 3 jar",2025-09-05,135
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1313
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",1500,NA,2025-09-05,549
"2025/08/28 03:45","Combined CSA","Complimentary","Aug 28, 2025",25,NA,2025-09-05,549
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,670
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1903
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1863
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,245
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,356
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1873
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,659
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,700
"2025/08/28 16:05","Combined CSA","Complimentary","Aug 28, 2025",7.5,"WK 22: returned 3 jar",2025-09-05,700
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,390
"2025/08/27 17:31","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,390
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1162
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,797
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1126
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1789
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",53.67041,NA,2025-09-05,216
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",65.08984,NA,2025-09-05,216
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,904
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,42
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,959
"2025/08/28 18:08","Combined CSA","Complimentary","Aug 28, 2025",0,"wk 22 returned 2 jars, deducted.",2025-09-05,959
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,941
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,608
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,463
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,1970
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,1383
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1347
"2025/09/04 19:19","Combined CSA","Fee","Sep 4, 2025",-7.98,"WK 23: 3 RL choc milk",2025-09-05,1839
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",2500,NA,2025-09-05,1431
"2025/09/05 03:44","Combined CSA","Complimentary","Sep 5, 2025",45,NA,2025-09-05,1431
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,402
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,834
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,605
"2025/08/25 03:37","Combined CSA","Credit Card","Aug 25, 2025",150,NA,2025-09-05,330
"2025/08/26 03:39","Combined CSA","Credit Card","Aug 26, 2025",150,NA,2025-09-05,330
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,320
"2025/09/03 13:55","Combined CSA","Complimentary","Sep 3, 2025",35.83,NA,2025-09-05,99
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-09-05,1572
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,289
"2025/09/04 19:37","Combined CSA","Complimentary","Sep 4, 2025",1.25,"WK 23: returned 2 jars, deducted extras",2025-09-05,289
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,34
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1708
"2025/08/28 18:11","Combined CSA","Complimentary","Aug 28, 2025",0,"week 22 returned 5 jars, deducted from purchases.",2025-09-05,1708
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,493
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,473
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1725
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,262
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,262
"2025/09/03 19:09","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23 returned 2 jars, deducted extras",2025-09-05,262
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,1763
"2025/08/27 19:29","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,520
"2025/09/03 18:57","Combined CSA","Complimentary","Sep 3, 2025",1.75,"WK 23 returned 2 jars, deducted extras",2025-09-05,520
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,810
"2025/08/27 17:42","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,810
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",8.490234,NA,2025-09-05,1424
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,156
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-09-05,1559
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",1000,NA,2025-09-05,125
"2025/08/28 03:45","Combined CSA","Complimentary","Aug 28, 2025",15,NA,2025-09-05,125
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1212
"2025/08/31 03:38","Combined CSA","Credit Card","Aug 31, 2025",150,NA,2025-09-05,308
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1521
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1908
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,1593
"2025/08/28 16:46","Combined CSA","Complimentary","Aug 28, 2025",0,"WK 22 returned 2 jars , deducted extras",2025-09-05,310
"2025/09/04 19:51","Combined CSA","Complimentary","Sep 4, 2025",0,"WK 23: returned 2 jars, deducted extras",2025-09-05,310
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",600,NA,2025-09-05,1052
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",28.701172,NA,2025-09-05,1537
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1920
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,866
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,39
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,39
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,1277
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-09-05,444
"2025/08/30 03:42","Combined CSA","Credit Card","Aug 30, 2025",300,NA,2025-09-05,1819
"2025/08/29 13:10","Combined CSA","Fee","Aug 29, 2025",-29.28,"WK 23: 1 dk ss bark + 3 chk wings",2025-09-05,1819
"2025/08/28 18:13","Combined CSA","Complimentary","Aug 28, 2025",0,"wk 22 returned 4 jars, deducted.",2025-09-05,1819
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1039
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,1039
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",600,NA,2025-09-05,828
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,207
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,240
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,467
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1506
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,1506
"2025/08/27 14:29","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: deducted $4.25 for nightshade peppers",2025-09-05,1506
"2025/09/03 13:38","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23: $1.50 credit for jalapeno, deducted from extras",2025-09-05,1506
"2025/09/04 19:52","Combined CSA","Complimentary","Sep 4, 2025",0.26,"WK 23: returned 5 jars, deducted extras",2025-09-05,422
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,1582
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,558
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,326
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,502
"2025/09/04 22:00","Combined CSA","Complimentary","Sep 4, 2025",13.03,"4 pounds rolled oats",2025-09-05,21
"2025/09/04 22:00","Combined CSA","Complimentary","Sep 4, 2025",11.25,"Red Fife flour",2025-09-05,21
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,128
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",600,NA,2025-09-05,1030
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,610
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1487
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,618
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1983
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,621
"2025/08/29 03:43","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,644
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,644
"2025/08/27 16:52","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,1830
"2025/09/03 16:58","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23: returned 1 jar, deducted extras",2025-09-05,1830
"2025/09/03 17:08","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23: returned 1 jar, deducted extras",2025-09-05,1687
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,809
"2025/08/28 16:59","Combined CSA","Complimentary","Aug 28, 2025",3.75,"WK 22 returned 2 jars, deducted extras",2025-09-05,807
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,1682
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,470
"2025/09/04 19:59","Combined CSA","Fee","Sep 4, 2025",-11.7,"WK 23: SEMO & t chips",2025-09-05,470
"2025/08/28 17:00","Combined CSA","Complimentary","Aug 28, 2025",5.75,"WK 22 returned 3 jars, deducted extras",2025-09-05,1488
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,643
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",1000,NA,2025-09-05,180
"2025/09/04 03:44","Combined CSA","Complimentary","Sep 4, 2025",15,NA,2025-09-05,180
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,1339
"2025/08/27 18:26","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,1339
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,171
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,401
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",3.1914062,NA,2025-09-05,1309
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",7.7089844,NA,2025-09-05,1309
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,730
"2025/08/27 17:44","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,1407
"2025/09/03 17:34","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23: returned 1 jar, deducted extras",2025-09-05,1407
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,699
"2025/09/04 20:25","Combined CSA","Complimentary","Sep 4, 2025",0,"WK 23: returned 1 jar, deducted extras",2025-09-05,1900
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",1000,NA,2025-09-05,479
"2025/08/28 03:45","Combined CSA","Complimentary","Aug 28, 2025",15,NA,2025-09-05,479
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1626
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1155
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",129.80078,NA,2025-09-05,405
"2025/08/31 18:55","Combined CSA","Complimentary","Aug 31, 2025",6.38,"didn't receive sungolds",2025-09-05,405
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",1000,NA,2025-09-05,620
"2025/08/27 17:33","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,620
"2025/09/04 03:44","Combined CSA","Complimentary","Sep 4, 2025",15,NA,2025-09-05,620
"2025/09/03 17:26","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23: returned 1 jar, deducted extras",2025-09-05,1534
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-09-05,1098
"2025/09/03 19:00","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23 returned 1 jar, deducted extras",2025-09-05,1098
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,880
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,132
"2025/08/27 19:21","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 1 jar, deducted extras",2025-09-05,384
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,418
"2025/09/03 18:54","Combined CSA","Complimentary","Sep 3, 2025",0,"WK 23  returned 1 jar, deducted extras",2025-09-05,418
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,100
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",62.719727,NA,2025-09-05,76
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",46.280273,NA,2025-09-05,76
"2025/08/27 17:42","Combined CSA","Complimentary","Aug 27, 2025",2.5,"WK 22: returned 1 jar, deducted extras",2025-09-05,1038
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",150,NA,2025-09-05,291
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,1075
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",300,NA,2025-09-05,127
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",13.830078,NA,2025-09-05,68
"2025/08/28 13:13","Combined CSA","Check","Aug 28, 2025",700,NA,2025-09-05,423
"2025/09/03 17:08","Combined CSA","Complimentary","Sep 3, 2025",2.5,"WK 23: returned 2 jars, deducted extras",2025-09-05,671
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",600,NA,2025-09-05,508
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",64.37,NA,2025-09-05,666
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",46.28,NA,2025-09-05,446
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",46.28,NA,2025-09-05,877
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",46.55,NA,2025-09-05,738
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",150,NA,2025-09-05,855
