ITEM,AVAILABLE
Gnocchi - Garlic Chive,6
Gnocchi - Potato,6
Gnocchi - Spinach,8
Gnocchi - Sundried Tomato,3
Gnocchi - Sweet Potato,11
Goshen Black Dog,6
Goshen Black Dog 5 LB,2
Goshen Bona Fide,7
Goshen Bona Fide 5 LB,2
Goshen Brazil,6
Goshen Colombia,6
Goshen Decaf Bona Fide,6
Goshen Ethiopia,5
Goshen French Roast,6
Goshen Guatemala,5
Goshen Moka Java,5
Goshen Old School Tattoo,5
Goshen Old School Tattoo 5 lb.,0
Goshen Sumatra,5
Goshen Sumatra 5lb,0
Gouda - 5 Alarm,2
Gouda - Cave Aged,2
Gouda - MJC,9
Gouda - Ropp,0
Gouda - Smoked,3
Gournay Cheese,0
Granola - Cranberry Almond,12
Granola - Vanilla Apricot,12
Granola Bar,17
Grits,29
Ground Beef 80/20,94
Ground Beef 90/10,47
Ground Lamb,11
Ground Turkey,15
Habanero Apple Cider Vinegar,0
Half & Half,14
Halibut/lb.,11
Ham Hocks/lb.,4
Ham Steak RFF/lb.,9
Harvest Shreds (1.0 Barbacoa),0
Harvest Shreds (1.0 BBQ),0
Harvest Shreds (1.0 Bulgogi),0
Harvest Shreds (1.0 Naked),0
Havarti - MJC,6
Heavy Cream,2
Honey - 12 oz. mbb,10
Honey - 6oz mbb.,11
Honey - Pint,14
Honey - Qt.,15
Honey - Squeeze Bottle,0
Honey - Wildflower,7
Hot Sauce - Green,6
Hot Sauce - Red,13
Hot Sweet Dills qt.,0
Jailhouse Jalapeno Brew,56
Jam - Apricot HBY,2
Jam - Black & Blue CF,0
Jam - Black Raspberry HBY,0
Jam - Blackberry HBY,1
Jam - Blackberry Jalapeno,6
Jam - Blueberry HBY,3
Jam - Blushing Peach CF,0
Jam - Cherry Butter,4
Jam - Damson Plum MF,0
Jam - Gooseberry HBY,2
Jam - Grape HBY,2
Jam - Peach HBY,0
Jam - Pear Butter HBY,2
Jam - Plum Butter,5
Jam - Plum Conserve,7
Jam - Red Cherry HBY,2
Jam - Red Raspberry HBY,3
Jam - Rhubarb HBY,4
Jam - Strawberry - Rhubarb,0
Jam - Strawberry CF,0
Jam - Strawberry HBY,0
Jam - Strawberry Rhubarb CF,0
Jam - Summer Trio CF,0
Jam - Tomato,0
Jam - Triple Crown CF,0
Jam - Wild Elderberry HBY,5
Jar Tomatoes,46
Jasmine Rice (1.0 Brown),11
Jasmine Rice (1.0 White),10
Jelly - Jalapeno HBY,4
Jungle Curry - Kit,0
K&G Beanie Hat,2
Kabob - Lamb /lb,4
Kuva Brazil,4
Kuva Ethiopian,5
Kuva Nicaragua,3
Kuva Peru,3
Kuva Sumatra,4
Lamb Chops/lb. DM,11
Lamb Feta/Spinach Gyro,13
Lamb Gyro Plain,12
Lamb Shank/lb.,5
Lard,4
Lasagna (1.0 Cheese),3
Lasagna (1.0 Mushroom),5
Lasagna (1.0 Spinach),3
Leg-o-Lamb - Bone in /lb.,2
Leg-o-Lamb - Boneless/lb.,1
Lemon Tarragon Vinaigrette,3
Lip Balm (1.0 Honey Orange),4
Lip Balm (1.0 Honey Vanilla),2
Lip Balm (1.0 Peppermint Rosemary),3
Little Bloom PF,3
Little Smokies - 2 pk,4
Ludwig Cheese (1.0 Blue),0
Ludwig Cheese (1.0 Kickapoo),0
Ludwig Cheese (1.0 Sangamon),0
Macadamias,0
Maple Syrup 12 oz.,15
Maple Syrup 64 oz.,8
Marshmallow Pie,0
Mascarpone,0
Meatballs,12
Mexican Dark Bark,6
Midnight Eclipse PF,0
Milk - 2%,11
Milk - Chocolate,1
Milk - Creamline,2
Milk - Skim,2
Milk - Whole,17
Milk Choc. Peanut Butter Bark,3
Milk Chocolate Bar,8
Milk Chocolate Caramels,0
Milk Chocolate CranOrange Bark,1
Milk Chocolate Lolli,10
Milk Chocolate PB Bon Bons,1
Milk Chocolate Salted Bark,8
Milk Chocolate Square,7
Missouri Pecans,0
Missouri Pecans (1.0 Pieces),0
Mojo Marinade,6
Mole Sauce,9
Molten Lava Cakes,0
Monsoon Mushrooms - Kit,1
Mozzarella,0
Muhammara Dip,0
Mujadara - Lentil & Rice,0
Multigrain Bread,72
Multigrain Bread - Frozen,26
Mushroom Pate,0
Mushrooms - Dried Mix,0
Mushrooms - Dried Shiitake,0
Mustard (1.0 Garlic),23
Mustard (1.0 Honey),23
Mustard (1.0 Horseradish),19
Mustard (1.0 Onion),22
Nduja,0
Nora Pepper Blend,7
NY Strip Steak /lb,5
Oat Groats Organic,21
Oats - 1lb. (1.0 Coarse),12
Oats - 1lb. (1.0 Fine),16
Oats - 1lb. (1.0 Flour),0
Oats - 1lb. (1.0 Rolled),40
Oats - Fine 5#,11
Oats - Rolled 5#,3
Oats Coarse 5#,0
Olive Cheese Spread,0
Olive Oil large,8
Olive Oil Medium,6
Olive Oil Small,5
oo'ma'me - Chinese,4
oo'ma'me - Indian,2
oo'ma'me - Mexican,6
oo'ma'me - Moroccan,1
Orange Milk 12 oz.,2
Organic Sugar,1
Oxtail/ lbs.,3
Pacific Cod/lb,0
Pasta - G.Free Long DG,7
Pasta - G.Free Short DG,1
Pasta - Gluten Free Long LV,6
Pasta - Gluten Free Short LV,10
Pasta - Short Egg,5
Pasta Bi-color Short,50
Pasta Long Bi-color,45
Pasta Long Egg,4
Pasta Sheets,0
Pate de Fruit,1
Peaches - Spiced,4
Peanut Butter EW,130
Peanut Butter MC,13
Peanut Butter w/Chocolate,0
Peanuts - Raw,5
Peanuts - Salted Roasted,6
Pecans,4
Pecans (1.0 Pieces),6
Pelota Roja,0
Pepitas,4
Pepper Jack - Ropp,0
Pesto - Arugula Walnut,1
Pesto - Green Basil,0
Pesto - Kale Walnut,1
Pesto - Nettle Walnut,0
Pesto - Purple Basil,0
Pesto - Purple Shiso,0
Pesto - Sorrel Walnut,0
Pesto - Thai Basil,0
Pesto - Watercress,1
Pickled Eggs,0
Pignolas (Pine Nuts),2
Pistachios,0
Pita - Wheat - Frozen,0
Pita - White - Frozen,0
Pita - Zaatar Bread - Frozen,0
Pita/Zaatar Bread (1.0 Wheat),0
Pita/Zaatar Bread (1.0 White),0
Pita/Zaatar Bread (1.0 zaatar),0
Pizza - Bacon Bacon,4
Pizza - Cheese,8
Pizza - Deluxe,8
Pizza - Four Meat,7
Pizza - Hot Chicken,7
Pizza - Pepperoni,7
Pizza - Sausage Pepperoni,5
Pizza - Tomato Basil Garlic,5
Pizza - Veggie,6
Pizza Sauce,14
Polenta,24
Polish Dill Pickles,0
Popcorn - McKaskle,13
Popped Corn - Organic,0
Pork - Andouille links,5
Pork - Bratwurst,44
Pork - Breakfast Links CB,32
Pork - Breakfast Sausage,33
Pork - Chorizo (bulk),6
Pork - Chorizo Links CB,6
Pork - Deli Ham /lb.,8
Pork - Ground,12
Pork - Kielbasa,5
Pork - Sweet Italian,5
Pork - Sweet Italian (1.0 Links),5
Pork Andouille Links - D&M,0
Pork Apple Brat,15
Pork Bacon Burgers,14
Pork Breakfast Patties D&M,4
Pork Burger RFF,4
Pork Chops - Boneless CB /lb.,7
Pork Cutlets /lb,8
Pork Italian Links - D&M,0
Pork Sausage - D&M,0
Pork Sausage - s&p,6
Pork Shoulder Small/lb.,0
Pork Shoulder/lb.,3
Pork Snack Sticks - 5 pk,5
Pork Snack Sticks - 5 pk (1.0 Spicy),7
Pork Snack Sticks - Honey 4pk,7
Pork Steaks/lb.,2
Pork TBM links - D&M,1
Pork Tenderloin/# - CB,7
Pork- Hot Italian,6
Pork- Hot Italian Links,6
Potato Chips Kickers Lg,5
Potato Chips Kickers med,5
Potato Chips Kickers Mini,9
Potato Chips Original - Mini,5
Potato Chips Original lg,4
Potato Chips Original med,2
Pretzel Buns,0
Pretzel Buns - Frozen,0
Pretzel Slider Buns,0
Pretzel Slider Buns - Frozen,16
Pumpkin Cranberry Bread,0
Quark-Frozen,4
Rack of Lamb,6
Ravioli - 4-Cheese,6
Ravioli - Butternut Squash,6
Ravioli - Goat Cheese,5
Ravioli - Mushroom,7
Raw Milk Aged Cheddar,7
Red Chile Sauce,16
Red Cornmeal,0
Ribeye Steak /lb,8
Ribs - Baby Back/lb.,14
Ribs - Spare/lb.,1
Ribs - Spare/lb. (1.0 Large),6
Ribs - Spare/lb. (1.0 Medium),0
Rice - Basmati Brown,19
Rice - Basmati White,14
Rice - Brown,10
Rice - White,17
RL Chocolate Milk,20
RL Heavy Cream,15
Ropp Cheddar (1.0 Green Onion),4
Ropp Cheddar (1.0 Sharp),0
Ropp Cheddar (1.0 Smoked),0
Ropp Cheddar (1.0 Tomato),3
Ropp Cheddar (1.0 White),9
Round Steak/lbs.,2
Sable Fish,23
Salame - Calabrese,6
Salame - Finocchiona,14
Salame - Veneto,10
Salmon,24
Salmon Candy,20
Salsa - Black Bean & Corn,17
Salsa - Gringo Hawaiian,14
Salsa - Gringo's Hot,9
Salsa - Gringo's Medium,12
Salsa - Gringo's Mild,14
Salsa - Hot TM&G,5
Salsa - Medium TM&G,0
Salted Caramel Choc. Sauce,0
Sea Scallops,6
Seedy Wheaty - Frozen,14
Seedy Wheaty Bread,0
Shakshuka Sauce,13
Shank Soup Bone/lbs.,2
Short Ribs/lbs.,5
Sirloin Steak,14
Skirt Steak/lbs.,3
Sliced Summer Sausage,13
Smoked Salmon,24
Smoked Salmon  (1.0 Pepper),14
Snack Stick - Bacon Jalapeno,17
Snack Stick - Hickory CB,12
Snow fog,0
Snowy Woodland Cheese,0
Soap (1.0 Basil Lemongrass),0
Soap (1.0 Cedar Rosemary),4
Soap (1.0 Cinnamon),4
Soap (1.0 Coconut Oil),0
Soap (1.0 Eucalyptus Mint),0
Soap (1.0 Facial Cleansing Bar),7
Soap (1.0 French Green Clay),4
Soap (1.0 Grapefruit),0
Soap (1.0 Honey Oat),4
Soap (1.0 Lavender),4
Sorghum Syrup,11
Sourdough Bread,16
Sourdough Bread - Frozen,10
Soy Sauce - Mushroom,13
Spice Blend,8
Spicy Dill Pickles,5
Strawberry Milk 12 oz.,2
Stringbean Brazilian,10
Stringbean Disco Inferno,4
Stringbean Ethiopian,4
Stringbean Malawi Peaberry,5
Stringbean Peru,5
Sugar Free - Apricot HBY,4
Sugar Free - Black Raspberry HBY,6
Sugar Free - Blackberry HBY,5
Sugar Free - Blueberry HBY,1
Sugar Free - Peach Jam HBY,5
Sugar Free - Raspberry HBY,5
Sugar Free - Red Cherry,5
Sugar Free - Strawberry Jam,5
Sugar Free - Strawberry Rhubarb,3
Sugar Free - Wild Elderberry,5
Sweet Dill Pickles,12
Swiss Cheese - Ropp,0
Tahini,31
Tarragon Peppers,25
Thick Cut Dill Pickles,14
Thyme for Garlic Vinaigrette,5
Toffee,10
Tomato Sauce - CB,36
Tomme - Cave Aged,5
Tortellini - Cheese,6
Tortellini - Mushroom,6
Tortelloni - Goat Cheese,6
Turkey - Andouille,4
Turkey Breakfast Links,5
Turkey Cherry Brats,0
Turkey Cranberry Brats,4
Turkey Drumsticks/lbs.,4
Turkey Thighs /lb,8
Turkey Wings /lb,2
Umami Heat - Japanese,0
Walnuts,1
Wheat Berries,56
White Rice Cooked,6
White Rice Flour,3
Whole Turkey,4
Yeast - Gold,0
Yeast - Red,7
Yogurt - Coconut,6
Yogurt - Greek Plain,0
Yogurt - Greek Vanilla,88
Yogurt - Plain Regular,0
Yogurt - Raspberry,6
Yogurt - Rose,3
Yogurt - Sheep's Milk,0
Yogurt - Vanilla Regular,17
Yogurt - Yo Bul Plain,23
