ITEM,AVAILABLE
FF Soup - Gumbo,3
FF Soup - Minestrone,0
FF Soup - Potato,0
FF Soup - Seafood,0
FF Soup - Tom Kha,9
FF Soup - Vegetable Stew,0
FF Soup - Wild Rice Minestrone,0
FF Soup - Yellow Gazpacho,8
FF Tzatziki,0
FF Vichyssoise - Leek & Fennel,0
Flaked Salmon/lb.,13
Flank Steak/lbs.,5
Fleur de la Prairie,9
Flory's Farmhouse,1
Flory's Favorite,0
Flour - All Purpose 5#,8
Flour - Bread 5#,15
Flour - Buckwheat,0
Flour - Pastry 5lb.,4
Flour - Sifted Bread 5lb.,9
Focaccia - 3 Cheese,0
Focaccia - 3 Cheese - Frozen,5
Garden Relish,0
Garlic Balsamic Vinaigrette,3
Giant Turkey Breast /lbs.,1
Gluten Free Black Bean Soup,3
Gluten Free Black Beans,5
Gluten Free Black Beans & Rice,4
Gnocchi - Garlic Chive,4
Gnocchi - Potato,5
Gnocchi - Spinach,6
Gnocchi - Sundried Tomato,9
Gnocchi - Sweet Potato,7
Goshen Black Dog,4
Goshen Black Dog 5 LB,0
Goshen Bona Fide,5
Goshen Bona Fide 5 LB,1
Goshen Brazil,3
Goshen Colombia,5
Goshen Decaf Bona Fide,6
Goshen Ethiopia,2
Goshen French Roast,4
Goshen Guatemala,4
Goshen Moka Java,5
Goshen Old School Tattoo,3
Goshen Sumatra,4
Gouda - 5 Alarm,10
Gouda - Cave Aged,10
Gouda - MJC,7
Gouda - Ropp,0
Gouda - Smoked,8
Granola - Cranberry Almond,6
Granola - Vanilla Apricot,8
Granola Bar,40
Grits,27
Ground Beef 80/20,67
Ground Beef 90/10,57
Ground Lamb,12
Ground Turkey,15
Habanero Apple Cider Vinegar,0
Half & Half,0
Halibut/lb.,10
Ham Hocks/lb.,4
Ham Steak RFF/lb.,7
Harvest Shreds (1.0 Barbacoa),0
Harvest Shreds (1.0 BBQ),0
Harvest Shreds (1.0 Bulgogi),0
Harvest Shreds (1.0 Naked),0
Havarti - MJC,8
Milk - Heavy Cream,1
Honey - 12 oz. mbb,9
Honey - 6oz mbb.,9
Honey - Pint,0
Honey - Qt.,8
Honey - Squeeze Bottle,0
Honey - Wildflower,6
Hot Sauce - Green,5
Hot Sauce - Red,5
Hot Sweet Dills qt.,0
Jailhouse Jalapeno Brew,54
Jam - Apricot HBY,0
Jam - Black & Blue CF,0
Jam - Black Raspberry HBY,4
Jam - Blackberry HBY,1
Jam - Blackberry Jalapeno,6
Jam - Blueberry HBY,5
Jam - Blushing Peach CF,0
Jam - Cherry Butter,8
Jam - Gooseberry HBY,3
Jam - Grape HBY,0
Jam - Peach HBY,4
Jam - Pear Butter HBY,0
Jam - Plum Butter,3
Jam - Plum Conserve,4
Jam - Red Cherry HBY,4
Jam - Red Raspberry HBY,3
Jam - Rhubarb HBY,0
Jam - Strawberry - Rhubarb,4
Jam - Strawberry CF,0
Jam - Strawberry HBY,1
Jam - Strawberry Rhubarb CF,0
Jam - Summer Trio CF,0
Jam - Tomato,0
Jam - Triple Crown CF,0
Jam - Wild Elderberry HBY,5
Jar Tomatoes,38
Jasmine Rice (1.0 Brown),10
Jasmine Rice (1.0 White),3
Jelly - Jalapeno HBY,3
Jungle Curry - Kit,0
K&G Beanie Hat,2
Kabob - Lamb /lb,3
Kuva Brazil,1
Kuva Ethiopian,0
Kuva Nicaragua,0
Kuva Peru,0
Kuva Sumatra,1
Lamb Chops/lb. DM,9
Lamb Feta/Spinach Gyro,12
Lamb Gyro Plain,15
Lamb Shank/lb.,5
Lard,3
Lasagna (1.0 Cheese),4
Lasagna (1.0 Mushroom),4
Lasagna (1.0 Spinach),3
Leg-o-Lamb - Bone in /lb.,2
Leg-o-Lamb - Boneless/lb.,1
Lemon Tarragon Vinaigrette,0
Lip Balm (1.0 Honey Orange),4
Lip Balm (1.0 Honey Vanilla),2
Lip Balm (1.0 Peppermint Rosemary),2
Little Bloom PF,1
Little Smokies - 2 pk,1
Ludwig Cheese (1.0 Blue),0
Ludwig Cheese (1.0 Kickapoo),0
Ludwig Cheese (1.0 Sangamon),0
Macadamias,0
Maple Syrup 12 oz.,8
Maple Syrup 64 oz.,5
Marshmallow Pie,2
Meatballs,7
Mexican Dark Bark,3
Midnight Eclipse PF,0
Milk - 2%,12
Milk - Chocolate,1
Milk - Creamline,2
Milk - Skim,1
Milk - Whole,12
Milk Choc. Peanut Butter Bark,5
Milk Chocolate Bar,7
Milk Chocolate Caramels,1
Milk Chocolate Lolli,13
Milk Chocolate PB Bon Bons,2
Milk Chocolate Salted Bark,5
Milk Chocolate Square,6
Missouri Pecans,0
Missouri Pecans (1.0 Pieces),0
Mojo Marinade,6
Mole Sauce,8
Molten Lava Cakes,0
Monsoon Mushrooms - Kit,1
Mozzarella,0
Muhammara Dip,0
Mujadara - Lentil & Rice,0
Multigrain Bread,36
Multigrain Bread - Frozen,9
Mushroom Pate,0
Mushrooms - Dried Mix,0
Mushrooms - Dried Shiitake,0
Mustard (1.0 Garlic),10
Mustard (1.0 Honey),22
Mustard (1.0 Horseradish),10
Mustard (1.0 Onion),9
Nora Pepper Blend,4
NY Strip Steak /lb,8
Oat Groats Organic,21
Oats - 1lb. (1.0 Coarse),10
Oats - 1lb. (1.0 Fine),13
Oats - 1lb. (1.0 Flour),0
Oats - 1lb. (1.0 Rolled),13
Oats - Fine 5#,11
Oats - Rolled 5#,11
Oats Coarse 5#,0
Olive Cheese Spread,0
Olive Oil large,7
Olive Oil Medium,5
Olive Oil Small,6
oo'ma'me - Chinese,1
oo'ma'me - Indian,2
oo'ma'me - Mexican,3
oo'ma'me - Moroccan,1
Orange Milk 12 oz.,1
Organic Sugar,0
Oxtail/ lbs.,3
Pacific Cod/lb,18
Pasta - G.Free Long DG,7
Pasta - G.Free Short DG,1
Pasta - Gluten Free Long LV,6
Pasta - Gluten Free Short LV,5
Pasta - Short Egg,8
Pasta Bi-color Short,32
Pasta Long Bi-color,48
Pasta Long Egg,7
Pate de Fruit,2
Peaches - Spiced,7
Peanut Butter EW,124
Peanut Butter MC,17
Peanut Butter w/Chocolate,0
Peanuts - Raw,3
Peanuts - Salted Roasted,4
Pecans,7
Pecans (1.0 Pieces),3
Pelota Roja,0
Pepitas,5
Pepper Jack - Ropp,0
Pesto - Arugula Walnut,4
Pesto - Green Basil,4
Pesto - Kale Walnut,4
Pesto - Nettle Walnut,0
Pesto - Purple Basil,0
Pesto - Purple Shiso,0
Pesto - Sorrel Walnut,0
Pesto - Thai Basil,0
Pesto - Watercress,4
Pickled Eggs,0
Pignolas (Pine Nuts),5
Pistachios,6
Pita - Wheat - Frozen,0
Pita - White - Frozen,0
Pita - Zaatar Bread - Frozen,0
Pita/Zaatar Bread (1.0 Wheat),0
Pita/Zaatar Bread (1.0 White),0
Pita/Zaatar Bread (1.0 zaatar),0
Pizza - Bacon Bacon,5
Pizza - Cheese,9
Pizza - Deluxe,5
Pizza - Four Meat,3
Pizza - Hot Chicken,5
Pizza - Pepperoni,2
Pizza - Sausage Pepperoni,6
Pizza - Tomato Basil Garlic,9
Pizza - Veggie,7
Pizza Sauce,27
Polenta,23
Polish Dill Pickles,0
Popcorn - McKaskle,4
Popcorn - White,0
Popped Corn - Organic,20
Pork - Andouille links,4
Pork - Bratwurst,32
Pork - Breakfast Links CB,13
Pork - Breakfast Sausage,66
Pork - Chorizo (bulk),5
Pork - Chorizo Links CB,5
Pork - Deli Ham /lb.,5
Pork - Ground,17
Pork - Kielbasa,13
Pork - Sweet Italian,7
Pork - Sweet Italian (1.0 Links),19
Pork Andouille Links - D&M,6
Pork Apple Brat,12
Pork Bacon Burgers,13
Pork Breakfast Patties D&M,7
Pork Burger RFF,8
Pork Chops - Boneless CB /lb.,11
Pork Cutlets /lb,2
Pork Hot Dogs,5
Pork Italian Links - D&M,0
Pork Sausage - D&M,0
Pork Sausage - s&p,4
Pork Shoulder Small/lb.,0
Pork Shoulder/lb.,3
Pork Snack Sticks - 5 pk,17
Pork Snack Sticks - 5 pk (1.0 Spicy),16
Pork Snack Sticks - Honey 4pk,18
Pork Steaks/lb.,23
Pork TBM links - D&M,7
Pork Tenderloin/# - CB,1
Pork- Hot Italian,6
Pork- Hot Italian Links,7
Potato Chips Kickers Lg,4
Potato Chips Kickers med,2
Potato Chips Kickers Mini,3
Potato Chips Original - Mini,0
Potato Chips Original lg,3
Potato Chips Original med,0
Pretzel Buns,0
Pretzel Buns - Frozen,0
Pretzel Slider Buns,0
Pretzel Slider Buns - Frozen,10
Pumpkin Cranberry Bread,0
Quark-Frozen,8
Rack of Lamb,6
Ravioli - 4-Cheese,6
Ravioli - Butternut Squash,7
Ravioli - Goat Cheese,5
Ravioli - Mushroom,6
Raw Milk Aged Cheddar,6
Red Chile Sauce,25
Red Cornmeal,0
Ribeye Steak /lb,9
Ribs - Baby Back/lb.,4
Ribs - Spare/lb.,0
Ribs - Spare/lb. (1.0 Large),0
Ribs - Spare/lb. (1.0 Medium),6
Rice - Basmati Brown,14
Rice - Basmati White,11
Rice - Brown,40
Rice - White,19
RL Chocolate Milk,0
RL Heavy Cream,2
Ropp Cheddar (1.0 Green Onion),0
Ropp Cheddar (1.0 Sharp),0
Ropp Cheddar (1.0 Smoked),0
Ropp Cheddar (1.0 Tomato),0
Ropp Cheddar (1.0 White),2
Round Steak/lbs.,2
Sable Fish,17
Salame - Calabrese,5
Salame - Finocchiona,7
Salame - Veneto,7
Salmon,36
Salmon Candy,17
Salsa - Black Bean & Corn,16
Salsa - Gringo Hawaiian,0
Salsa - Gringo's Hot,6
Salsa - Gringo's Medium,4
Salsa - Gringo's Mild,16
Salsa - Hot TM&G,3
Salsa - Medium TM&G,0
Salted Caramel Choc. Sauce,0
Sea Scallops,4
Seedy Wheaty - Frozen,9
Seedy Wheaty Bread,15
Shakshuka Sauce,9
Shank Soup Bone/lbs.,1
Short Ribs/lbs.,2
Sirloin Steak,11
Skirt Steak/lbs.,5
Sliced Summer Sausage,6
Smoked Salmon,22
Smoked Salmon  (1.0 Pepper),14
Snack Stick - Bacon Jalapeno,17
Snack Stick - Hickory CB,16
Snow fog,0
Snowy Woodland Cheese,0
Soap (1.0 Basil Lemongrass),0
Soap (1.0 Cedar Rosemary),3
Soap (1.0 Cinnamon),4
Soap (1.0 Coconut Oil),0
Soap (1.0 Eucalyptus Mint),0
Soap (1.0 Facial Cleansing Bar),3
Soap (1.0 French Green Clay),2
Soap (1.0 Grapefruit),0
Soap (1.0 Honey Oat),4
Soap (1.0 Lavender),2
Sorghum Syrup,11
Sourdough Bread,18
Sourdough Bread - Frozen,9
Soy Sauce - Mushroom,5
Spice Blend,8
Spicy Dill Pickles,10
Strawberry Milk 12 oz.,0
Stringbean Brazilian,0
Stringbean Disco Inferno,2
Stringbean Ethiopian,0
Stringbean Malawi Peaberry,2
Stringbean Peru,5
Sugar Free - Apricot HBY,4
Sugar Free - Black Raspberry HBY,6
Sugar Free - Blackberry HBY,5
Sugar Free - Blueberry HBY,4
Sugar Free - Peach Jam HBY,2
Sugar Free - Raspberry HBY,4
Sugar Free - Red Cherry,5
Sugar Free - Strawberry Jam,3
Sugar Free - Strawberry Rhubarb,6
Sugar Free - Wild Elderberry,2
Sweet Dill Pickles,9
Swiss Cheese - Ropp,0
Tahini,27
Tarragon Peppers,23
Thick Cut Dill Pickles,12
Thyme for Garlic Vinaigrette,4
Toffee,4
Tomato Sauce - CB,34
Tomme - Cave Aged,6
Tortellini - Cheese,6
Tortellini - Mushroom,5
Tortelloni - Goat Cheese,6
Turkey - Andouille,3
Turkey Breakfast Links,5
Turkey Cherry Brats,0
Turkey Cranberry Brats,4
Turkey Drumsticks/lbs.,6
Turkey Thighs /lb,4
Turkey Wings /lb,2
Umami Heat - Japanese,0
Walnuts,2
Wheat Berries,45
White Rice Cooked,5
White Rice Flour,3
Whole Turkey,4
Yeast - Gold,0
Yeast - Red,6
Yogurt - Coconut,6
Yogurt - Greek Plain,12
Yogurt - Greek Vanilla,11
Yogurt - Plain Regular,12
Yogurt - Raspberry,10
Yogurt - Rose,4
Yogurt - Sheep's Milk,0
Yogurt - Vanilla Regular,8
Yogurt - Yo Bul Plain,26
