ITEM,CATEGORY,ADDITIONAL_CATEGORIES,AVAILABLE,PRICE,STATUS,PRODUCER,TITLE SPANISH,UNIT QUANTITY,UNIT,IS CREDIT,PACK SEPARATELY,MAX PER MEMBER,IMAGE URL,DESCRIPTION,LINK,WEIGHT,LABEL
50 pound ww flour,"Grains, Beans & Rice",,0,74.00,Published,Brian Severson Farm,,1.0,Bag,true,FALSE,17,/staticResource/resources/item-no-image.jpg,,,Light,
80/20 Ground Beef Bundle,Grassfed Beef,,9963,60.00,Published,Raincrow Ranch,,1.0,10-pack,true,FALSE,10,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5720404698071040.jpg?v=1642193153096,"Get a $.75 per pack discount when you buy a 10-pack. Get $.50 per pack off when you buy a 5-pack.We usually have these available, but may need to send it the following week (or split it over two deliveries).",,Light,
80/20 Ground Beef Bundle (1.0 5-pack),Grassfed Beef,,9850,31.25,Published,Raincrow Ranch,,1.0,5-pack,true,FALSE,10,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5720404698071040.jpg?v=1642193153096,"Get a $.75 per pack discount when you buy a 10-pack. Get $.50 per pack off when you buy a 5-pack.We usually have these available, but may need to send it the following week (or split it over two deliveries).",,Light,
90/10  Ground Beef Bundle,Grassfed Beef,,9838,31.75,Published,Raincrow Ranch,,1.0,5-pack,true,FALSE,10,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5687075751854080.jpg?v=1643746206715,"5 or 10 pack of 90/10 ground beef. We usually have these available, but may need to send it the following week (or split it over two deliveries).",,Light,
90/10  Ground Beef Bundle (1.0 10-pack),Grassfed Beef,,9958,61.00,Published,Raincrow Ranch,,1.0,10-pack,true,FALSE,10,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5687075751854080.jpg?v=1643746206715,"5 or 10 pack of 90/10 ground beef. We usually have these available, but may need to send it the following week (or split it over two deliveries).",,Light,
Almond Butter,"Snacks, Nuts & Nut Butters",,22,9.00,Published,Eastwind Nut Butters,,1.0,Pint,true,FALSE,17,http://www.eastwindnutbutters.com/images/content/almondbutter.png,"East Wind Almond Butter is made from Mission variety almonds. Our buyers secure the best tasting almonds from mature groves in northern California. We never purchase almonds sprayed with PPO and our growers provide certificate of analysis to ensure the quality of the almonds.  After dry-roasting and cooling, we mill the unblanched almonds into Smooth Almond Butter. With the skins left on, East Wind Almond Butter has a dark, rich color and flavor. Our Almond Butter has no added ingredients— just fresh-roasted almonds. No stabilizers, preservatives, artificial flavors, or colors. Almond butter is wonderful on sliced apples and pears. And, it works great as a peanut butter replacement in your favorite recipes.",,Medium,Coming Thursday Afternoon
Almond Butter - Crunchy,"Snacks, Nuts & Nut Butters",,36,9.00,Published,Eastwind Nut Butters,,1.0,Pint,true,FALSE,6,http://www.eastwindnutbutters.com/images/content/almondbutter.png,The crunchy version of Eastwind Almond Butter.,,Light,Coming Thursday Afternoon
Almond or Cashew Butter,"Snacks, Nuts & Nut Butters",,0,9.00,Draft,Eastwind Nut Butters,,1.0,Pint,true,FALSE,1,https://fairshares.org/wp-content/uploads/2020/03/eastwind-logo_ac039443-329b-4824-b1cc-3b942b19a0d3_300x@2x-1.png,Eastwind Cashew or Almond Butter (choice while supplies last),,Medium,
Almonds - Raw,"Snacks, Nuts & Nut Butters",,6,14.00,Published,Mound City,,16.0,Oz.,true,FALSE,17,https://static1.squarespace.com/static/57bba614f5e23115c18ded52/57bbc32d15d5dbc1c5327f3f/5820d8c346c3c4f9b722ab95/1478547664947/almonds-natural-mound-city-2.jpg?format=500w,"Almonds have cholesterol-lowering properties and are a great source of vitamin E, dietary fiber, and also essential minerals including magnesium, copper, calcium, and potassium. The almond is actually a seed! The almond tree bears fruits that protect its seeds, which we refer to as almond nuts.",,Medium,
Almonds - Salted,"Snacks, Nuts & Nut Butters",,6,14.00,Published,Mound City,,16.0,Oz.,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/Mound-City-Salted-Almonds.jpg,Almonds roasted with salt,,Medium,
Angel Food Cheese,Cheese,,7,7.00,Published,Prairie Fruits Farm and Creamery,,1.0,Each,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5692331952963584.jpg?v=1620767266596,"Goat cheese, ""mini"" brie or crottin style bloomy, this little disc weighs approx. 0.2#. It is approximately 2"" tall and 1"" diameter round. The cheese stays firm in the center even as it ages. Penicillium candidum (white mold) rind gives it a mushroom flavor.",,Light,
Apetitka,Canned/Dried/Frozen Produce & Condiments,,0,7.50,Draft,Ivan's Fig Farm,,1.0,Half Pint,true,FALSE,17,https://fairshares.org/sites/default/files/Aptitka.jpg,Tapanade,,Light,
Apple Butter,Jams,,6,7.00,Published,Hilty Bee Yard,,1.0,Pint,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5565482470080512.jpg?v=1612296355584,,,Light,
Apple Butter - No Sugar,Jams,,5,7.00,Published,Hilty Bee Yard,,1.0,Pint,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5316079179137024.jpg?v=1612295851646,,,Light,
Apple Butter - Organic,Jams,,0,7.00,Published,Blue Heron Orchard,,1.0,Pint,true,FALSE,17,/staticResource/resources/item-no-image.jpg,Apple butter made without added sugar.,,Light,
Apple Cider,Produce - Fruits,,0,3.25,Draft,Schwartz Orchard,,1.0,Pint,true,FALSE,10,/staticResource/resources/item-no-image.jpg,,,Heavy,
Apple Cider,Produce - Fruits,,0,6.75,Draft,Schwartz Orchard,,1.0,Each,true,FALSE,5,https://fairshares.org/wp-content/uploads/2020/11/schwartzcider.png,"Fresh apple cider, 1/2 gallon.",,Light,
Apple Cider - Frozen,Produce - Fruits,,0,6.75,Draft,Schwartz Orchard,,1.0,Half Gallon,true,FALSE,5,https://fairshares.org/wp-content/uploads/2020/11/schwartzcider.png,Award winning apple cider from Schwartz Orchard.,,Heavy,
"Apple Cider - Gallon, frozen",Produce - Fruits,,0,10.00,Draft,Schwartz Orchard,,1.0,Each,true,FALSE,17,http://,Apple cider gallon from award winning Schwartz Orchard,,Medium,
Apple Cider Vinegar,Oils & Vinegars,,0,5.50,Published,Blue Heron Orchard,,1.0,Bottle,true,FALSE,2,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5704055737286656.jpg?v=1612902717443,Organic Apple Cider Vinegar.,,Light,
Apple Sauce - Chunky - NS,Canned/Dried/Frozen Produce & Condiments,,13,7.00,Published,Hilty Bee Yard,,1.0,Quart,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5669207849041920.jpg?v=1616718798814,Chunky apple sauce without sugar added.,,Light,
Apple Sauce - Organic Pt.,Canned/Dried/Frozen Produce & Condiments,,0,4.75,Published,All Fair Shares Producers,,1.0,Jar,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5070776502976512.jpg?v=1642193309805,"Blue Heron Orchard organic applesauce, no sugar added.",,Light,
Apple Sauce - Organic Qt.,Canned/Dried/Frozen Produce & Condiments,,0,7.50,Published,Blue Heron Orchard,,1.0,Quart,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/Blue-Heron-Apple-Sauce.jpg,Organic Apple Sauce sweetened with apple cider. No sugar added.,,Light,
Apple Sauce - w/maple syrup,Canned/Dried/Frozen Produce & Condiments,,0,5.50,Draft,Mast Farm,,1.0,Pint,true,FALSE,10,https://fairshares.org/wp-content/uploads/2020/04/canned-010.jpeg,Apple sauce sweetened with maple syrup.,,Light,
Apple Sauce - w/sugar - qt.,Canned/Dried/Frozen Produce & Condiments,,10,7.00,Published,Hilty Bee Yard,,1.0,Jar,true,FALSE,10,https://fairshares.org/wp-content/uploads/2020/04/Hilty-Apple-Sauce.jpg,"Apple Sauce, quart. Smooth with sugar added",,Light,
Apple Sauce - with sugar - pt,Canned/Dried/Frozen Produce & Condiments,,0,5.50,Draft,Hilty Bee Yard,,1.0,Pint,true,FALSE,5,/staticResource/resources/item-no-image.jpg,Pint sized applesauce.,,Light,
Apple Sauce Choice - Qt.,Canned/Dried/Frozen Produce & Condiments,,0,7.00,Published,All Fair Shares Producers,,1.0,Quart Jar,true,FALSE,5,/staticResource/resources/item-no-image.jpg,,,Light,
Apple Seconds,Produce - Fruits,,0,2.75,Draft,All Fair Shares Producers,,1.0,Share,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5676381820157952.jpg?v=1612295501643,"Half price apples. Some of the fuji apples are at the end of their storage season. They have bruises, or brown spots, or are wrinkled. They are crying to be applesauce, pie, or apple crisp. Help them out!",,Light,
Apple Syrup,"Honey, Syrups & Sugar",,0,8.25,Draft,Blue Heron Orchard,,1.0,Half Pint,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/Blue-Herron-Ambrosia.jpg,"Pomonas Ambrosia Apples Syrup. Certified Organic. Apple cider cooked down to a delicious syrup. Make a salad dressing, add it to yogurt, or ice cream.",,Light,
Apples -  Gala,Produce - Fruits,,0,4.00,Draft,Schwartz Orchard,,1.0,Share,true,FALSE,3,https://fairshares.org/wp-content/uploads/2020/04/IMG_apples_0.jpg,Gala apples. Share size varies with number of apples per bushel.,,Light,
Apples - Fuji,Produce - Fruits,,0,4.00,Draft,All Fair Shares Producers,,1.0,Share,true,FALSE,6,https://fairshares.org/wp-content/uploads/2020/04/IMG_apples_0.jpg,"Always a favorite. As Wikipedia says: The Fuji apple is an apple hybrid developed by growers at Tohoku Research Station in Fujisaki, Aomori, Japan, in the late 1930s, and brought to market in 1962. It originated as a cross between two American apple varieties — the Red Delicious and old Virginia Ralls Genet apples.",,Light,
Apples - Golden Delicious,Produce - Fruits,,0,4.00,Draft,Schwartz Orchard,,1.0,Share,true,FALSE,10,https://www.specialtyproduce.com/sppics/120.png,Golden and delicious!,,Light,
Apples - Jonagolds,Produce - Fruits,,0,4.00,Draft,Schwartz Orchard,,1.0,Share,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5741200225075200.jpg?v=1614107737412,Jonagolds are a cross between the crisp Golden Delicious and the blush-crimson Jonathan.,,Light,
Apples - Jonathan,Produce - Fruits,,0,4.00,Draft,Schwartz Orchard,,1.0,Share,true,FALSE,17,https://images.squarespace-cdn.com/content/v1/570405a1d51cd4b95e81525f/1464202043819-CLQFIPOPW064EZPAF6SX/IMG_2288.jpg?format=500w,"Jonathans have a deep red skin, creamy white flesh and a juicy, crisp bite.",,Light,
Apples - Mutsu,Produce - Fruits,,0,3.75,Draft,Schwartz Orchard,,1.0,Share,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5999118431420416.jpg?v=1648478919346,"Also known as ""Crispin"", this is a cross between Golden Delicious and Indo apples, first grown in Japan. Juicy and crisp, with a sweet and tart flavor.",,Light,
Apples - Organic Empire,Produce - Fruits,,0,3.75,Draft,Blue Heron Orchard,,1.0,Share,true,FALSE,3,https://fairshares.org/wp-content/uploads/2020/04/Apples.RubyJons.tn_.jpg,"Organic empire apples. White flesh, crisp, and tart. (the picture is ruby jons)",,Light,
Apples - Organic Gala,Produce - Fruits,,0,3.75,Draft,Blue Heron Orchard,,1.0,Share,true,FALSE,3,https://fairshares.org/wp-content/uploads/2020/04/galas.jpg,Organic gala apples.,,Light,
Apples - Organic Querina,Produce - Fruits,,0,4.00,Draft,Kairos Gardens,,1.0,Share,true,FALSE,6,https://fairshares.org/wp-content/uploads/2020/10/QuerinaApples.jpg,"Querina is medium large, very attractive apple with purple-red streaks over a yellow background. It is sweet, aromatic, crisp and juicy, a good apple for eating out-of-hand. Keeps well.",,Light,
Apples - Organic Red Delicious,Produce - Fruits,,0,3.75,Draft,Blue Heron Orchard,,1.0,Share,true,FALSE,3,/staticResource/resources/item-no-image.jpg,"Organic, mild flavor, not mealy. These red delicious actually live up to their name!",,Light,
Apples - Organic Winesap,Produce - Fruits,,0,3.75,Draft,Blue Heron Orchard,,1.0,Share,true,FALSE,14,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5490203109228544.jpg?v=1648478988554,"An American heirloom apple. Sweet and tangy, good for eating, cooking, and cider.",,Light,
Apples - Organic Yellow Delicious,Produce - Fruits,,0,3.75,Draft,Blue Heron Orchard,,1.0,Share,true,FALSE,5,/staticResource/resources/item-no-image.jpg,,,Light,
Apples - Red Delicious,Produce - Fruits,,0,3.75,Draft,Schwartz Orchard,,1.0,Share,true,FALSE,2,/staticResource/resources/item-no-image.jpg,,,Light,
Arugula,Produce - Vegetables,,0,4.00,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/saladwarmveg.gif,4 to 5 oz. bag of delicious spiciness.,,Light,
Asian Eggplant,Produce - Vegetables,,0,1.50,Draft,All Fair Shares Producers,,1.0,Each,true,FALSE,3,https://fairshares.org/wp-content/uploads/2020/04/eggplant.japanese.tn_.jpg,"One long, thin Asian eggplant.",,Light,
Asian Greens,Produce - Vegetables,,0,3.00,Draft,EarthDance Organic Farm School,,1.0,Bag,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5694880546291712.jpg?v=1649967949054,"8 oz bag mixed greens; good raw or for cookingImage Credit: Sue Minkel",,Light,
Asian Melon,Produce - Fruits,,0,2.75,Draft,All Fair Shares Producers,,1.0,Each,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/1632244047782.jpg?v=1632244048533,"These small oblongish melons have lemon yellow skins with white sutures, and efreshingly crisp and moderately sweet white flesh.",,Light,
Asian Pears,Produce - Fruits,,0,5.50,Draft,All Fair Shares Producers,,1.0,Share,true,FALSE,10,https://fairshares.org/wp-content/uploads/2020/04/AsianPears.jpg,"Firm, crisp and juicy, different from the European varieties that become soft when ripe. They are commonly served raw. Approximately 1.5lb shares",,Light,
Asparagus,Produce - Vegetables,,0,6.00,Draft,All Fair Shares Producers,,1.0,Bunch,true,FALSE,2,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5721185543258112.jpg?v=1650848785129,Fresh green asparagus - approximately 1lb. bunches.,,Light,
Attitude Hot Peppers,Produce - Vegetables,,0,1.00,Draft,All Fair Shares Producers,,1.0,5-pack,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/1632866084048.jpg?v=1632866084377,"The cute little red jalapenos are an heirloom variety, with good flavor and good heat (at least some of them have good heat). This hybrid is actually named Jaluv An Attitude...",,Light,
BBQ Sauce - Original #6,Canned/Dried/Frozen Produce & Condiments,,22,8.25,Published,Double Star Farms,,1.0,Jar,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5670994454773760.jpg?v=1653413693984,"A unique, distinctive and memorable sauce with a tantalizing blend of spices. Great on beef, venison or pork! 20 oz",,Light,
BBQ Sauce - barrel Aged,Canned/Dried/Frozen Produce & Condiments,,0,6.00,Draft,Beer Sauce,,1.0,Jar,true,FALSE,4,http://nebula.wsimg.com/0c0998422411342181e1cc303b6de7f9?AccessKeyId=A7F7564BEC88D3BE5BC2&disposition=0&alloworigin=1,Locally made BBQ sauce with barrel aged whiskey. Contains fish and soy.,,Light,
Baba Ganoush,Prepared Foods,,0,8.00,Published,Cham Bakery,,1.0,Tub,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/4788580693180416.jpg?v=1648661047121,8 oz. tub of Cham Baba Ganoush,,Light,
Baby Bok Choy,Produce - Vegetables,,0,4.00,Published,All Fair Shares Producers,,8.0,Oz.,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5672479439716352.jpg?v=1652310226371,Little bok choy leaves (looks like spinach)--they're so cute at that age.,,Light,
Baby Patty Pans,Produce - Vegetables,,0,2.75,Draft,Mast Farm,,1.0,Lb.,true,FALSE,6,/staticResource/resources/item-no-image.jpg,Ping pong size and smaller!,,Light,
Baby Ribs - Wee /lb,Wee Ones,,0,5.20,Published,Circle B Ranch,,1.0,1-each,true,FALSE,10,/staticResource/resources/item-no-image.jpg,,,Light,
Baby Zephyr Squash,Produce - Vegetables,,0,2.75,Draft,Mast Farm,,1.0,1-each,true,FALSE,3,/staticResource/resources/item-no-image.jpg,"Pencil sized little squash, cute!",,Light,
Bacon,Pastured Pork,,64,10.25,Published,All Fair Shares Producers,,1.0,Each,true,FALSE,6,https://cdn.shopify.com/s/files/1/0053/0776/0751/products/IMG_5686_1024x1024@2x.JPG?v=1550339413,1 lb sliced bacon,,Light,
Bacon - Berkshire SB,Pastured Pork,,0,11.00,Archived,Salume Beddu,,1.0,Pack,true,FALSE,17,https://fairshares.org/sites/default/files/salumebeddubacon.jpghttp://nebula.wsimg.com/9f2f5b439aac1d1bf42c8b05345b39e9?AccessKeyId=A7F7564BEC88D3BE5BC2&disposition=0&alloworigin=1,Pork Berkshire Bacon,,Light,
Bacon - Cured CB,Pastured Pork,,10,9.85,Draft,Circle B Ranch,,1.0,Pack,true,FALSE,17,https://www.circlebranchpork.com/wp-content/uploads/2013/06/074-300x225.jpg,Cured Pork Bacon,,Light,
Bacon - NF - BSF,Pastured Pork,,0,12.00,Archived,Blind Star Farm,,1.0,Package,true,FALSE,10,https://fairshares.org/sites/default/files/bacon%20bsf.JPG,,,Light,
Bacon - Uncured,Pastured Pork,,1,15.25,Published,D & M Farms,,1.0,Pack,true,FALSE,17,https://cdn.shopify.com/s/files/1/0520/5770/2581/products/GP_210217_110498_2c147edd-1360-4261-8061-81ed0b02ba3b_300x.png?v=1613760020,Nitrate Free Bacon,,Light,
Bacon - Wee  /lb.,Wee Ones,,0,9.50,Published,Robinson Family Farm,,1.0,Each,true,FALSE,3,/staticResource/resources/item-no-image.jpg,Bacon priced per pound. Weighing from 8 ounces to 11 ounces.,,Light,
Bacon Brittle,Candy,,0,5.50,Draft,Kakao,,1.0,1-each,true,FALSE,8,/staticResource/resources/item-no-image.jpg,"Sweet, savory, salty, crunchy — some say our bacon brittle is the perfect food!",,Light,
Bacon Ends /lb.,Pastured Pork,,4,19.00,Published,Circle B Ranch,,1.0,Package,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/4921956017111040.jpg?v=1612903472176,Pork Bacon Ends: price will be adjusted to weight at $9.50/lb. Each pack is about 2 lb.,,Light,
Bada Bing - Sub,Bakery,,12,4.50,Published,Companion Bakery,,1.0,Bag,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6526971263713280.jpg?v=1612373734549,"7"" Italian Sub 5 per bag.",,Light,
Bada Bing - Sub - Frozen,Bakery,,0,4.50,Published,Companion Bakery,,1.0,Each,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6526971263713280.jpg?v=1612373734549,"Frozen 7"" Italian Sub rolls. 5 per bag.",,Light,
Bagel Choice,Bakery,,0,4.75,Draft,All Fair Shares Producers,,1.0,Bag,true,FALSE,1,/staticResource/resources/item-no-image.jpg,6 bagels.,,Light,
Bagels - Everything,Bakery,,8,5.25,Published,Companion Bakery,,1.0,Bag,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5711255578869760.jpg?v=1610665930001,"Package of 6 bagels with garlic, poppy seeds, and sesame seeds.",,Light,
Bagels - Everything - Frozen,Bakery,,6,5.25,Published,Companion Bakery,,1.0,Bag,true,FALSE,2,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5711255578869760.jpg?v=1610665930001,6 per bag.,,Light,
Bagels - Plain,Bakery,,0,5.25,Published,Companion Bakery,,1.0,Bag,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5757864698183680.jpg?v=1616714392822,Package of 6 Plain Bagels,,Light,
Bagels - Plain - Frozen,Bakery,,11,5.25,Published,Companion Bakery,,1.0,Each,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5757864698183680.jpg?v=1616714392822,6 per bag,,Light,
Bagels - Raisin,Bakery,,8,5.25,Published,Companion Bakery,,1.0,Bag,true,FALSE,10,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6655373251575808.jpg?v=1610664987605,6 per bag.,,Light,
Bagels - Raisin - Frozen,Bakery,,1,5.25,Published,Companion Bakery,,1.0,Bag,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6655373251575808.jpg?v=1610664987605,Cinnamon Raisin! 6 per bag.,,Light,
Baklava,Bakery,,0,10.00,Published,Sedara Sweets & Ice Cream,,1.0,Each,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5736633433325568.jpg?v=1617724632233,"Squares and rolled varieties, 5 per container.""Our Baklava is made with love.  Once baked for special occasions and for the very wealthy, Baklava is a sweet dessert pastry made with layers of flaky phyllo dough filled with chopped nuts, sweetened and held together with syrup or honey.  We offer varieties of Iraqi baklava - phyllo dough sheets with butter, walnuts and honey and Turkish baklava which uses walnuts, pistachios or almond filling between layers of dough.""",,Light,
Balsamic Vinegar,Oils & Vinegars,,13,6.25,Published,Kreta Reserve,,500.0,ML,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/Kreta-Balsamic.jpg,Balsamic Vinegar,,Light,
Bamboo Shoots,Produce - Vegetables,,0,4.00,Draft,Ozark Forest,,8.0,Oz.,true,FALSE,2,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5751123109478400.jpg?v=1620253700225,The tender shoots of the bamboo plants. See cooking instructions in the newsletter.,,Light,
Bark- Autumn,Candy,,0,4.00,Published,Kakao,,1.0,Package,true,FALSE,4,/staticResource/resources/item-no-image.jpg,"Autumn bark is dark bark with fall flavors (cinnamon, cardamom, etc.)Seasonal Bark",,Light,
Bark- Dark Pine Nut,Candy,,0,4.00,Published,Kakao,,1.0,Package,true,FALSE,4,http://,Extra dark chocolate wth pine nuts and sea salt,,Light,
Bark- Hazelnut,Candy,,0,4.00,Draft,Kakao,,1.0,Package,true,FALSE,5,/staticResource/resources/item-no-image.jpg,Milk Chocolate Hazelnut Bark,,Light,
Bark- Orange Ginger,Candy,,0,4.00,Published,Kakao,,1.0,Package,true,FALSE,7,https://,Milk Chocolate Bark- Orange Ginger,,Light,
Bark- Peach Rasp,Candy,,0,4.00,Published,Kakao,,1.0,Package,true,FALSE,1,https://,Milk chocolate peach raspberry,,Light,
Bark-Banana Coconut,Candy,,0,4.00,Published,Kakao,,1.0,Package,true,FALSE,2,https://,Banana Coconut Milk Chocolate Bark,,Light,
Bark-Hazelnut Swirl,Candy,,1,4.00,Draft,Kakao,,1.0,Pack,true,FALSE,4,https://,Hazelnut milk chocolate with dark chocolate swirl,,Light,
Basmati or Jasmine Rice Choice,"Grains, Beans & Rice",,54,5.50,Draft,All Fair Shares Producers,,1.0,Bag,true,FALSE,2,/staticResource/resources/item-no-image.jpg,Brown or White  Basmati or Jasmine Rice. You choose.,,Light,
Beans & Rice,Prepared Foods,,9,6.00,Published,Del Carmen,,1.0,Tub,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5172915788054528.jpg?v=1614110303642,"Perfect for lunch at work. Garlic rice and Cuban-style beans.INGREDIENTS:white rice, black beans, water, beer (barley), onions, bell peppers, orange juice (not from concentrate), lime juice (not from concentrate), lemon juice (not from concentrate), extra virgin olive oil, garlic, shallots, sea salt, natural spices",,Light,
Bee Pollen,"Honey, Syrups & Sugar",,0,4.00,Published,Melanie's Busy Bees,,1.0,Jar,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5844937796091904.jpg?v=1648481030126,"Loaded with over 250 biologically active substances, including proteins, carbs, lipids, fatty acids, vitamins, minerals, enzymes and antioxidants. Google it for more information.  Add to foods like yogurt, oatmeal, or smoothies 1.3 oz.",,Light,
Beef - Boerewors - Wee,Wee Ones,,18,8.75,Published,Popoma Foods,,1.0,Each,true,FALSE,1,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5985285931401216.jpg?v=1642193495752,"This is a traditional South African sausage is made from locally raised beef and pork in Wright City Missouri. Great grilled, pan-friend or roasted. Smaller than a pound/$10.75 per poind",,Light,
Beef - Rump Roast /lb.,Grassfed Beef,,0,20.50,Published,Pierce Creek Cattle Company,,1.0,Each,true,FALSE,2,/staticResource/resources/item-no-image.jpg,Grass fed and finished beef. Priced per pound at $10.25 a pound. The roasts are 2.2 to 2.12 pounds each. Price adjusted per actual weight.,,Light,
Beef - Stew Meat,Grassfed Beef,,3,9.00,Published,Anton's Beef,,1.0,Pack,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6237019705442304.jpg?v=1628009480152,Beef stew meat cut in chunks and ready to throw in the crock pot.,,Light,
