ITEM,CATEGORY,ADDITIONAL_CATEGORIES,AVAILABLE,PRICE,STATUS,PRODUCER,TITLE SPANISH,UNIT QUANTITY,UNIT,IS CREDIT,PACK SEPARATELY,MAX PER MEMBER,IMAGE URL,DESCRIPTION,LINK,WEIGHT,LABEL
Almond Butter,"Snacks, Nuts & Nut Butters",,9,11.25,Published,Eastwind Nut Butters,,1.0,Pint,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5759522421342208.jpg?v=1758749114369,"East Wind Almond Butter is made from Mission variety almonds. Our buyers secure the best tasting almonds from mature groves in northern California. We never purchase almonds sprayed with PPO and our growers provide certificate of analysis to ensure the quality of the almonds.  After dry-roasting and cooling, we mill the unblanched almonds into Smooth Almond Butter. With the skins left on, East Wind Almond Butter has a dark, rich color and flavor. Our Almond Butter has no added ingredients— just fresh-roasted almonds. No stabilizers, preservatives, artificial flavors, or colors. Almond butter is wonderful on sliced apples and pears. And, it works great as a peanut butter replacement in your favorite recipes.",,Medium,
Almond Butter - Crunchy,"Snacks, Nuts & Nut Butters",,57,11.25,Published,Eastwind Nut Butters,,1.0,Pint,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5746392672763904.jpg?v=1758749071012,Delicious crunchy almond butter!,,Light,
Almond Butter - Regular or Crunchy ($11.25),"Snacks, Nuts & Nut Butters",,0,11.25,Published,Eastwind Nut Butters,,1.0,Pint,true,FALSE,2,/staticResource/resources/item-no-image.jpg,A wildcard item of either regular almond butter or the crunchy version.,,Light,
Almond or Cashew Butter,"Snacks, Nuts & Nut Butters",,0,9.25,Draft,Eastwind Nut Butters,,1.0,Pint,true,FALSE,1,https://fairshares.org/wp-content/uploads/2020/03/eastwind-logo_ac039443-329b-4824-b1cc-3b942b19a0d3_300x@2x-1.png,Eastwind Cashew or Almond Butter (choice while supplies last),,Medium,
Almonds - Raw,"Snacks, Nuts & Nut Butters",,4,14.75,Published,Mound City,,16.0,Oz.,true,FALSE,17,https://static1.squarespace.com/static/57bba614f5e23115c18ded52/57bbc32d15d5dbc1c5327f3f/5820d8c346c3c4f9b722ab95/1478547664947/almonds-natural-mound-city-2.jpg?format=500w,"Almonds have cholesterol-lowering properties and are a great source of vitamin E, dietary fiber, and also essential minerals including magnesium, copper, calcium, and potassium. The almond is actually a seed! The almond tree bears fruits that protect its seeds, which we refer to as almond nuts.",,Medium,
Almonds - Salted,"Snacks, Nuts & Nut Butters",,8,14.75,Published,Mound City,,16.0,Oz.,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/Mound-City-Salted-Almonds.jpg,Almonds roasted with salt,,Medium,
American Persimmons,Produce - Fruits,,0,10.50,Draft,Garnier Gourmet Garlic,,1.0,Bag,true,FALSE,2,/staticResource/resources/item-no-image.jpg,"A very sweet fruit when fully ripe, similar to a fresh date. You can puree them or make them into a persimmon pudding. About 1lb per bag",,Light,
Angel Food Cheese,Cheese,,0,8.50,Published,Prairie Fruits Farm and Creamery,10.15 arch angel,1.0,Each,true,FALSE,1,https://cdn.faire.com/fastly/c64eaa437f037002a5caa2f11678642be2e2e707a04adcf7b3b409b1eac275c9.webp?dpr=2&fit=crop&format=jpg&height=564.9399999999999&quality=100&width=875.4089084065245,"Our Angel Food petite round is a creamy brie-style cheese with a bloomy rind wrapped around a flavorful, dense curd. As it ages over 4-6 weeks, the texture becomes smooth and gooey. Hand-ladled then ripened to crottin-like perfection. Enjoy young with crackers or aged with chips for crowd appeal. Made with mixed goat and cow milk or all cow milk depending on the season. Most white wines complement its buttery notes beautifully.",,Light,
Apetitka,Canned/Dried/Frozen Produce & Condiments,,0,7.50,Draft,Ivan's Fig Farm,,1.0,Half Pint,true,FALSE,17,https://fairshares.org/sites/default/files/Aptitka.jpg,Tapanade,,Light,
Apple Butter,Jams,,3,7.50,Published,Hilty Bee Yard,,1.0,Pint,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5565482470080512.jpg?v=1612296355584,,,Light,
Apple Butter - No Sugar,Jams,,3,7.50,Published,Hilty Bee Yard,,1.0,Pint,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5316079179137024.jpg?v=1612295851646,,,Light,
Apple Butter - Organic,Jams,,24,7.50,Published,Blue Heron Orchard,,1.0,Pint,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/4774979847716864.jpg?v=1670351077680,Apple butter made without added sugar or spices.,,Light,
Apple Cider,Produce - Fruits,,17,9.25,Published,Schwartz Orchard,,1.0,Half Gallon,true,FALSE,4,https://fairshares.org/wp-content/uploads/2020/11/schwartzcider.png,Award winning apple cider from Schwartz Orchard.,,Light,
Apple Cider - Frozen,Produce - Fruits,,3,9.00,Published,Schwartz Orchard,,1.0,Half Gallon,true,FALSE,5,https://fairshares.org/wp-content/uploads/2020/11/schwartzcider.png,Award winning apple cider from Schwartz Orchard.,,Heavy,
"Apple Cider - Gallon, frozen",Produce - Fruits,,0,10.00,Draft,Schwartz Orchard,,1.0,Each,true,FALSE,17,http://,Apple cider gallon from award winning Schwartz Orchard,,Medium,
Apple Cider - Pint,Produce - Fruits,,0,3.25,Draft,Schwartz Orchard,,1.0,Pint,true,FALSE,10,/staticResource/resources/item-no-image.jpg,,,Heavy,
Apple Cider Vinegar - 1/2 Gallon,Oils & Vinegars,,0,10.00,Draft,Kairos Gardens,,1.0,Half Gallon,true,FALSE,2,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6183708943056896.jpg?v=1668531719421,Made with pure apple juice (no sugar added) from a mixture of 8 beyond-organic varieties. Made with an acetobacter strain (mother) from Italy. Not diluted at the end with water.,,Light,New!
Apple Cider Vinegar - BH,Oils & Vinegars,,0,5.50,Published,Blue Heron Orchard,,1.0,Bottle,true,FALSE,2,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5704055737286656.jpg?v=1612902717443,Organic Apple Cider Vinegar.,,Light,
Apple Cider Vinegar - Qt.,Oils & Vinegars,,0,7.00,Published,Kairos Gardens,,1.0,Jar,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6502284048596992.jpg?v=1668531662605,Made with pure apple juice (no sugar added) from a mixture of 8 beyond-organic varieties. Made with an acetobacter strain (mother) from Italy. Not diluted at the end with water.,,Light,New!
Apple Juice,Produce - Fruits,,0,5.25,Published,Kairos Gardens,,1.0,Half Gallon,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5698273302020096.jpg?v=1668712622888,"Fresh pressed apple juice, 1/2 gallon. Local grown apples with organic practices.",,Light,
Apple Juice - Frozen,Produce - Fruits,,0,4.75,Published,Kairos Gardens,,1.0,Half Gallon,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5698273302020096.jpg?v=1668712622888,"Apple juice, 1/2 gallon. Local grown apples with organic practices.",,Light,Sale!
Apple Sauce - Chunky - NS,Canned/Dried/Frozen Produce & Condiments,,12,7.50,Published,Hilty Bee Yard,,1.0,Quart,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5669207849041920.jpg?v=1616718798814,Chunky apple sauce without sugar added.,,Light,
Apple Sauce - Organic Pt.,Canned/Dried/Frozen Produce & Condiments,,0,4.75,Draft,All Fair Shares Producers,,1.0,Jar,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5070776502976512.jpg?v=1642193309805,"Blue Heron Orchard organic applesauce, no sugar added.",,Light,
Apple Sauce - Organic Qt.,Canned/Dried/Frozen Produce & Condiments,,0,10.00,Published,Blue Heron Orchard,,1.0,Quart,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/Blue-Heron-Apple-Sauce.jpg,Organic Apple Sauce sweetened with apple cider. No sugar added.,,Light,
Apple Sauce - w/maple syrup,Canned/Dried/Frozen Produce & Condiments,,0,5.50,Draft,Mast Farm,,1.0,Pint,true,FALSE,10,https://fairshares.org/wp-content/uploads/2020/04/canned-010.jpeg,Apple sauce sweetened with maple syrup.,,Light,
Apple Sauce - w/sugar - qt.,Canned/Dried/Frozen Produce & Condiments,,9,7.50,Published,Hilty Bee Yard,,1.0,Jar,true,FALSE,10,https://fairshares.org/wp-content/uploads/2020/04/Hilty-Apple-Sauce.jpg,"Apple Sauce, quart. Smooth with sugar added",,Light,
Apple Sauce - with sugar - pt,Canned/Dried/Frozen Produce & Condiments,,0,5.50,Draft,Hilty Bee Yard,,1.0,Pint,true,FALSE,5,/staticResource/resources/item-no-image.jpg,Pint sized applesauce.,,Light,
Apple Sauce Choice - Qt.,Canned/Dried/Frozen Produce & Condiments,,0,7.00,Published,All Fair Shares Producers,,1.0,Quart Jar,true,FALSE,5,/staticResource/resources/item-no-image.jpg,,,Light,
Apple Seconds,Produce - Fruits,,0,5.00,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,1,/staticResource/resources/item-no-image.jpg,"Half price apples. All Arkansas Black apples (4.5lbs!) are at the end of their storage season. They have bruises, or brown spots, or are wrinkled. They are crying to be applesauce, pie, or apple crisp. Help them out!",,Light,Sale!
Apple Syrup,"Honey, Syrups & Sugar",,0,8.25,Draft,Blue Heron Orchard,,1.0,Half Pint,true,FALSE,17,https://fairshares.org/wp-content/uploads/2020/04/Blue-Herron-Ambrosia.jpg,"Pomonas Ambrosia Apples Syrup. Certified Organic. Apple cider cooked down to a delicious syrup. Make a salad dressing, add it to yogurt, or ice cream.",,Light,
Apples - Arkansas Black,Produce - Fruits,,0,5.25,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5431990378692608.jpg?v=1666121001355,Cooking apple that stores well.,,Light,
Apples - Braeburn,Produce - Fruits,,0,4.75,Published,Schwartz Orchard,,1.0,Share,true,FALSE,8,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5220533703671808.jpg?v=1665515356528,A red/orange colored apple that is a mix of sweet and tart flavors.,,Light,
Apples - Cooking,Produce - Fruits,,0,3.75,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5999118431420416.jpg?v=1702414646010,"Cooking/Baking Apples, great for applesauce, pies, crisps, in your oatmeal, etc. On the soft side for raw eating. Jonathan apples this week. ~2lbs per share",,Light,
Apples - Fuji,Produce - Fruits,,0,5.75,Published,Flamm Orchards,,1.0,Bag,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5662457099976704.jpg?v=1663098266547,"Always a favorite. As Wikipedia says: The Fuji apple is an apple hybrid developed by growers at Tohoku Research Station in Fujisaki, Aomori, Japan, in the late 1930s, and brought to market in 1962. It originated as a cross between two American apple varieties — the Red Delicious and old Virginia Ralls Genet apples.",,Light,
Apples - Gala,Produce - Fruits,,0,5.75,Published,Flamm Orchards,,1.0,Bag,true,FALSE,4,https://fairshares.org/wp-content/uploads/2020/04/IMG_apples_0.jpg,Gala apples. Share size varies with number of apples per bushel.,,Light,
Apples - Golden Delicious,Produce - Fruits,,18,5.75,Published,Flamm Orchards,,1.0,Bag,true,FALSE,5,https://www.specialtyproduce.com/sppics/120.png,Golden and delicious!,,Light,
Apples - Golden Supreme,Produce - Fruits,,0,5.25,Published,Schwartz Orchard,,1.0,Share,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/4861174255058944.jpg?v=1695748114103,Sweet yellow apple.,,Light,
Apples - Jonagold,Produce - Fruits,,0,4.75,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5741200225075200.jpg?v=1614107737412,Jonagolds are a cross between the crisp Golden Delicious and the blush-crimson Jonathan.,,Light,
Apples - Jonaprince,Produce - Fruits,,0,4.50,Draft,Kairos Gardens,,1.0,Share,true,FALSE,10,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/1664297965125.jpg?v=1664297965709,"Red Jonaprince is a cultivar of Jonagold with a nearly solid red color that is bright to dark red. Its skin is smooth with brownish-yellow lenticels (or pores). The shape of this medium-sized apple is wider than it is high. Red Jonaprince is an aromatic variety with creamy-colored flesh, which is juicy and firm, and its flavor is a nice balance of sugar and acid.",,Light,
Apples - Jonathan,Produce - Fruits,,30,5.75,Published,Flamm Orchards,,1.0,Bag,true,FALSE,4,https://images.squarespace-cdn.com/content/v1/570405a1d51cd4b95e81525f/1464202043819-CLQFIPOPW064EZPAF6SX/IMG_2288.jpg?format=500w,"Jonathans have a deep red skin, creamy white flesh and a juicy, crisp bite. These are on the cusp of being a baking apple. A few more bumps and bruises than usual, but normal for this time of year.",,Light,
Apples - Organic Empire,Produce - Fruits,,0,5.75,Published,Blue Heron Orchard,,1.0,Bag,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/4833455349825536.jpg?v=1693333567384,An apple that balances sweet and tartness. It is a combination of Red Delicious and McIntosh.,,Light,
Apples - Organic Enterprise,Produce - Fruits,,0,5.25,Published,Kairos Gardens,,1.0,Share,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5163927392616448.jpg?v=1665515385214,A firm and crispy apple with a good smell and slight tartness.,,Light,
Apples - Organic Freedom,Produce - Fruits,,0,5.25,Published,Blue Heron Orchard,,1.0,Share,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6479878722551808.jpg?v=1663098147948,Tart tasting apple that is great for eating on its own or cooking/baking.,,Light,
Apples - Organic Gala,Produce - Fruits,,0,5.75,Published,Blue Heron Orchard,,1.0,Bag,true,FALSE,4,https://fairshares.org/wp-content/uploads/2020/04/galas.jpg,Organic gala apples.,,Light,
Apples - Organic Jonamec,Produce - Fruits,,0,5.25,Published,Kairos Gardens,,1.0,Share,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5238054522060800.jpg?v=1724185426748,"A sweet, but mildly tart flavor with a hint of spice. A juicy apple that has a thin skin that is hardly noticeable when chewing.",,Light,
Apples - Organic Liberty,Produce - Fruits,,0,5.25,Published,Kairos Gardens,,1.0,Share,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6135221138882560.jpg?v=1726603070738,"The liberty apple is sweet like a McIntosh, yet more tart. It includes some hints of citrus and melon.  Its yellow-toned flesh is crisp and juicy with a fine-grain texture.",,Light,
Apples - Organic Pristine,Produce - Fruits,,0,5.50,Published,Blue Heron Orchard,,1.0,Bag,true,FALSE,1,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6458899530645504.jpg?v=1690312663021,"Early harvested apple that has some tart flavoring. They can be eaten fresh, added to a fruit salad or smoothie, or baked.",,Light,Sale!
Apples - Organic Querina,Produce - Fruits,,0,5.25,Published,Kairos Gardens,,1.0,Share,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5151946090086400.jpg?v=1726603121665,A medium to large sized apple with purple-red finish over yellow skin. With a sweet-tart aromatic flavor with hints of cider or cantaloupe.,,Light,
Apples - Organic Red Delicious,Produce - Fruits,,46,5.75,Published,Blue Heron Orchard,,1.0,Bag,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5703434074324992.jpg?v=1664307593766,"Organic, mild flavor, not mealy. These red delicious actually live up to their name!",,Light,
Apples - Organic Winesap,Produce - Fruits,,0,5.25,Published,Blue Heron Orchard,,1.0,Share,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5490203109228544.jpg?v=1648478988554,"An American heirloom apple. Sweet and tangy, good for eating, cooking, and cider.",,Light,
Apples - Organic Yellow Delicious,Produce - Fruits,,0,5.25,Published,Blue Heron Orchard,,1.0,Share,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6380319663063040.jpg?v=1727207633412,"Organic, mild flavor, not mealy. These yellow delicious actually live up to their name!",,Light,
Apples - Ozark Gold,Produce - Fruits,,0,4.75,Published,Schwartz Orchard,,1.0,Bag,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6082318282915840.jpg?v=1695152602221,A sweet apple with some tart flavoring and a bit of acidity. Can be eaten fresh or cooked.,,Light,
Apples - Querina,Produce - Fruits,,0,4.50,Draft,Kairos Gardens,,1.0,Share,true,FALSE,6,https://fairshares.org/wp-content/uploads/2020/10/QuerinaApples.jpg,"Querina is medium large, very attractive apple with purple-red streaks over a yellow background. It is sweet, aromatic, crisp and juicy, a good apple for eating out-of-hand. Keeps well.The apples from Kairos have more spots on them, similar to what organic apples have. Just be aware!",,Light,
Apples - Red Delicious,Produce - Fruits,,0,4.75,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6431932234727424.jpg?v=1697570626291,,,Light,
Apples - Suncrisp,Produce - Fruits,,0,5.25,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5818882811101184.jpg?v=1667332108212,"These apples have a sharp, subtly sweet, and tart flavor.",,Light,
Apples - Winesap,Produce - Fruits,,0,5.25,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5490203109228544.jpg?v=1648478988554,Sweet and tangy. These are the last of the season so we recommend cooking with them rather than eating raw.,,Light,
Apples - Yellow Delicious,Produce - Fruits,,0,5.25,Published,Blue Heron Orchard,,1.0,Share,true,FALSE,4,/staticResource/resources/item-no-image.jpg,,,Light,
Applewood Smoked Cheddar,Cheese,,10,6.50,Published,Hemme Brothers Creamery,,1.0,Each,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6093676355387392.jpg?v=1677186017635,Pitmaster meets cheese monger. We smoke-cure our buttery cheddar with the same fruitwood the pros choose for slow smoking ribs and brisket. 6oz.,,Light,
Arm Roast/lbs.,Grassfed Beef,,0,10.25,Published,D & M Farms,,1.0,lbs,true,FALSE,3,/staticResource/resources/item-no-image.jpg,"Arm roast is known for having a tender, juicy texture with a savory beef flavor.rm roasts are generally more tender than chuck roast, which can be a bit tougher in texture due to the large amount of connective tissue in the meat.",,Light,
Arrabiata Sauce KP,Prepared Foods,Canned/Dried/Frozen Produce & Condiments,0,10.50,Published,Katie's Pizza and Pasta,,1.0,Jar,true,FALSE,6,/staticResource/resources/item-no-image.jpg,"Jarred sauce (24 oz) ready to serve!Whole peeled tomatoes (vine ripened plumtomatoes, tomato juice, basil, salt, natural citric acid), onion, extra virgin olive oil, kosher salt, fresh garlic, fresh basil, butter, mascarpone cheese, spice. Contains milk. Refrigerate after opening.",,Light,
Arugula,Produce - Vegetables,,7,4.00,Published,Yoder's Produce,,1.0,Bag,true,FALSE,4,https://fairshares.org/wp-content/uploads/2020/04/saladwarmveg.gif,~1/3lb. bag of delicious spiciness.,,Light,
Asian Greens,Produce - Vegetables,,0,4.75,Published,Avant Gardens,,1.0,Bunch,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5694880546291712.jpg?v=1727207750679,8 oz bag mixed greens; good raw or for cooking,,Light,Sale!
Asian Pears,Produce - Fruits,,0,4.50,Published,All Fair Shares Producers,,1.0,Share,true,FALSE,1,https://fairshares.org/wp-content/uploads/2020/04/AsianPears.jpg,"Firm, crisp and juicy, different from the European varieties that become soft when ripe. They are commonly served raw. Approximately 1lb shares",,Light,
Asparagus,Produce - Vegetables,,0,6.25,Published,Scharf Farms,,1.0,Bunch,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5721185543258112.jpg?v=1650848785129,Fresh green asparagus - approximately 1lb. bunches.,,Light,Sale!
Attitude Hot Peppers,Produce - Vegetables,,0,1.00,Draft,All Fair Shares Producers,,1.0,5-pack,true,FALSE,6,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/1632866084048.jpg?v=1632866084377,"The cute little red jalapenos are an heirloom variety, with good flavor and good heat (at least some of them have good heat). This hybrid is actually named Jaluv An Attitude...",,Light,
Auction Donation,Cheese,"Bakery, Candy, Canned/Dried/Frozen Produce & Condiments, Eggs/Yogurt/Milk , Gifts and Such, Grains, Beans & Rice, Honey, Syrups & Sugar, Jams, Non-Edibles, Oils & Vinegars, Pasta - Fresh, Frozen & Dry, Prepared Foods, Produce - Fruits, Produce - Vegetables, Cheese, Coffee/Tea, Fish, Grassfed Beef, Pastured Pork, Snacks, Nuts & Nut Butters",9999428,1.00,Published,All Fair Shares Producers,,1.0,$,true,FALSE,1000,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/1722364425353.jpg?v=1722364425878,Help us with donations to non-profit auction items. We get so many requests and just don't have the ability to contribute all the time.,,Light,
BBQ Sauce - Original #6,Canned/Dried/Frozen Produce & Condiments,,5,10.25,Published,Double Star Farms,,1.0,Jar,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5670994454773760.jpg?v=1653413693984,"A unique, distinctive and memorable sauce with a tantalizing blend of spices. Great on beef, venison or pork! 20 oz",,Light,
BBQ Sauce - barrel Aged,Canned/Dried/Frozen Produce & Condiments,,0,6.00,Draft,Beer Sauce,,1.0,Jar,true,FALSE,4,http://nebula.wsimg.com/0c0998422411342181e1cc303b6de7f9?AccessKeyId=A7F7564BEC88D3BE5BC2&disposition=0&alloworigin=1,Locally made BBQ sauce with barrel aged whiskey. Contains fish and soy.,,Light,
BBQ Sauce Wildcard ($10.25),Canned/Dried/Frozen Produce & Condiments,,0,10.25,Published,All Fair Shares Producers,,1.0,Each,true,FALSE,2,/staticResource/resources/item-no-image.jpg,We have BBQ Sauce from Double Star Farms offered this week. Take this item out of your cart if you wish for another item.,,Light,
Baba Ganoush,Prepared Foods,,0,8.00,Draft,Cham Bakery,,1.0,Tub,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/4788580693180416.jpg?v=1648661047121,8 oz. tub of Cham Baba Ganoush,,Light,
Baby Bok Choy,Produce - Vegetables,,0,4.00,Draft,All Fair Shares Producers,,8.0,Oz.,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5672479439716352.jpg?v=1652310226371,Little bok choy leaves (looks like spinach)--they're so cute at that age.,,Light,
Baby Patty Pans,Produce - Vegetables,,0,2.75,Draft,Mast Farm,,1.0,Lb.,true,FALSE,6,/staticResource/resources/item-no-image.jpg,Ping pong size and smaller!,,Light,
Baby Swiss - MJC,Cheese,,0,4.50,Draft,Marcoot Jersey Creamery,,1.0,Pack,true,FALSE,5,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5662536053555200.jpg?v=1669740353419,,,Light,
Baby Zephyr Squash,Produce - Vegetables,,0,2.75,Draft,Mast Farm,,1.0,1-each,true,FALSE,3,/staticResource/resources/item-no-image.jpg,"Pencil sized little squash, cute!",,Light,
Bacon,Pastured Pork,,52,12.75,Published,All Fair Shares Producers,,1.0,Each,true,FALSE,6,https://cdn.shopify.com/s/files/1/0053/0776/0751/products/IMG_5686_1024x1024@2x.JPG?v=1550339413,1 lb sliced bacon,,Light,
Bacon - Berkshire SB,Pastured Pork,,0,11.00,Archived,Salume Beddu,,1.0,Pack,true,FALSE,17,https://fairshares.org/sites/default/files/salumebeddubacon.jpghttp://nebula.wsimg.com/9f2f5b439aac1d1bf42c8b05345b39e9?AccessKeyId=A7F7564BEC88D3BE5BC2&disposition=0&alloworigin=1,Pork Berkshire Bacon,,Light,
Bacon - NF - BSF,Pastured Pork,,0,12.00,Archived,Blind Star Farm,,1.0,Package,true,FALSE,10,https://fairshares.org/sites/default/files/bacon%20bsf.JPG,,,Light,
Bacon - Uncured/lb,Pastured Pork,,10,15.25,Published,D & M Farms,,1.0,Pack,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5447410906038272.jpg?v=1716489381421,"Nitrate Free Bacon, price will be adjusted per weight",,Light,
